Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-11-21,Espanol,Malaga,2,0,H,0,0,0,4,6,0,1.2,1.8,1.0,1.2,-2,0.19999999999999996,0.6000000000000001
2015-11-21,La Coruna,Celta,2,0,H,0,0,0,4,7,0,1.0,1.4,1.4,2.2,-3,-0.3999999999999999,-0.8000000000000003
2015-11-21,Real Madrid,Barcelona,0,4,A,0,1,2,10,12,0,2.4,1.2,2.8,1.0,-2,-0.3999999999999999,0.19999999999999996
2015-11-21,Sociedad,Sevilla,2,0,H,0,0,0,3,10,0,1.4,2.0,2.4,1.2,-7,-1.0,0.8
2015-11-21,Valencia,Las Palmas,1,1,D,1,0,1,9,4,0,2.6,1.2,0.6,1.8,5,2.0,-0.6000000000000001
2015-11-22,Betis,Ath Madrid,0,1,A,0,0,2,7,11,0,1.2,1.4,1.4,0.6,-4,-0.19999999999999996,0.7999999999999999
2015-11-22,Granada,Ath Bilbao,2,0,H,0,0,0,4,13,0,1.4,1.6,2.6,1.0,-9,-1.2000000000000002,0.6000000000000001
2015-11-22,Sp Gijon,Levante,0,3,A,0,1,2,7,4,0,1.2,1.6,0.4,2.2,3,0.7999999999999999,-0.6000000000000001
2015-11-22,Villarreal,Eibar,1,1,D,1,0,1,4,10,0,0.6,1.4,1.6,1.0,-6,-1.0,0.3999999999999999
2015-11-23,Getafe,Vallecano,1,1,D,1,0,1,4,6,0,1.0,2.0,1.4,1.8,-2,-0.3999999999999999,0.19999999999999996
2015-11-27,Levante,Betis,0,1,A,0,0,2,4,4,0,0.8,2.2,0.8,1.6,0,0.0,0.6000000000000001
2015-11-28,Malaga,Granada,2,2,D,1,1,1,3,6,0,0.4,1.4,1.6,1.4,-3,-1.2000000000000002,0.0
2015-11-28,Las Palmas,La Coruna,0,2,A,0,0,2,5,6,0,0.8,1.6,1.2,1.2,-1,-0.3999999999999999,0.40000000000000013
2015-11-28,Celta,Sp Gijon,2,1,H,1,1,0,6,4,0,1.4,2.6,0.8,2.0,2,0.5999999999999999,0.6000000000000001
2015-11-28,Barcelona,Sociedad,4,0,H,0,1,0,15,6,0,3.4,0.6,1.6,1.4,9,1.7999999999999998,-0.7999999999999999
